Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Boise Hillside Suites,"Sustainably built, midcentury log home turned B&B offering 3 tranquil suites with private entrances.","{'latitude': 43.660840199999996, 'longitude': -116.2401754}",43.6608402,-116.2401754,2,,"[{'stars': 5, 'count': 65}, {'stars': 4, 'count': 4}, {'stars': 3, 'count': 1}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 7}]",77,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 14, 'positive': 13, 'negative': 1, 'neutral': 0}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 27, 'positive': 24, 'negative': 0, 'neutral': 3}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 33, 'positive': 27, 'negative': 2, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 21, 'positive': 19, 'negative': 2, 'neutral': 0}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 21, 'positive': 18, 'negative': 3, 'neutral': 0}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 15, 'positive': 12, 'negative': 0, 'neutral': 3}]","4480, North Kitsap Way, Collister, Boise, Ada County, Idaho, 83703, United States"
Quality Inn Airport,"Casual hotel with an indoor pool & hot tub, plus free airport shuttle, breakfast, RV parking & WiFi.","{'latitude': 43.569882, 'longitude': -116.2122578}",43.569882,-116.2122578,2,https://www.choicehotels.com/idaho/boise/quality-inn-hotels/id011?mc=llgoxxpx,"[{'stars': 5, 'count': 181}, {'stars': 4, 'count': 140}, {'stars': 3, 'count': 130}, {'stars': 2, 'count': 62}, {'stars': 1, 'count': 131}]",644,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 81, 'positive': 37, 'negative': 35, 'neutral': 9}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 57, 'positive': 26, 'negative': 28, 'neutral': 3}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 175, 'positive': 80, 'negative': 82, 'neutral': 13}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 79, 'positive': 17, 'negative': 54, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 119, 'positive': 42, 'negative': 60, 'neutral': 17}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 42, 'positive': 21, 'negative': 17, 'neutral': 4}]","Quality Inn, 2526, West Airport Way, Boise, Ada County, Idaho, 83705, United States"
Best Western Vista Inn at the Airport,"Relaxed airport lodging with free breakfast & a shuttle, plus a casual restaurant, a bar & a pool.","{'latitude': 43.568697, 'longitude': -116.214461}",43.568697,-116.214461,3,https://www.bestwestern.com/en_US/book/hotel-rooms.13029.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:13029,"[{'stars': 5, 'count': 540}, {'stars': 4, 'count': 358}, {'stars': 3, 'count': 151}, {'stars': 2, 'count': 58}, {'stars': 1, 'count': 76}]",1183,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 189, 'positive': 140, 'negative': 26, 'neutral': 23}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 114, 'positive': 87, 'negative': 14, 'neutral': 13}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 94, 'positive': 73, 'negative': 8, 'neutral': 13}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 93, 'positive': 59, 'negative': 22, 'neutral': 12}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 244, 'positive': 179, 'negative': 47, 'neutral': 18}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 51, 'positive': 38, 'negative': 7, 'neutral': 6}]","Best Western, 2645, West Airport Way, Boise, Ada County, Idaho, 83705, United States"
Fairfield Inn Boise,"Modern hotel with a pool & a fitness room, plus free Wi-Fi, hot breakfast & an airport shuttle.","{'latitude': 43.5725328, 'longitude': -116.21837850000001}",43.5725328,-116.2183785,2,https://www.marriott.com/en-us/hotels/boifi-fairfield-inn-boise/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 254}, {'stars': 4, 'count': 160}, {'stars': 3, 'count': 41}, {'stars': 2, 'count': 24}, {'stars': 1, 'count': 25}]",504,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 95, 'positive': 85, 'negative': 6, 'neutral': 4}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 50, 'positive': 41, 'negative': 4, 'neutral': 5}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 49, 'positive': 42, 'negative': 3, 'neutral': 4}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 110, 'positive': 91, 'negative': 14, 'neutral': 5}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 27, 'positive': 17, 'negative': 7, 'neutral': 3}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 62, 'positive': 33, 'negative': 22, 'neutral': 7}]","Fairfield Inn, 3300, South Shoshone Street, Boise, Ada County, Idaho, 83705, United States"
Hostel Boise,,"{'latitude': 43.624565, 'longitude': -116.51281290000001}",43.624565,-116.5128129,3,https://www.hostel-boise.com/,"[{'stars': 5, 'count': 36}, {'stars': 4, 'count': 8}, {'stars': 3, 'count': 2}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 4}]",50,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 19, 'positive': 18, 'negative': 1, 'neutral': 0}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 17, 'positive': 16, 'negative': 1, 'neutral': 0}]","Can-Ada Road, Nampa, Canyon County, Idaho, 83687, United States"
The Heldrich Hotel & Conference Center,"Upscale property offering elegant rooms, an indoor pool, local art & 25,000 sq ft of meeting space.","{'latitude': 40.493000699999996, 'longitude': -74.4437811}",40.4930007,-74.4437811,4,http://www.theheldrich.com/?&utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB&utm_term=held,"[{'stars': 5, 'count': 701}, {'stars': 4, 'count': 461}, {'stars': 3, 'count': 173}, {'stars': 2, 'count': 67}, {'stars': 1, 'count': 108}]",1510,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 69, 'positive': 40, 'negative': 19, 'neutral': 10}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 130, 'positive': 34, 'negative': 81, 'neutral': 15}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 62, 'positive': 5, 'negative': 52, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 53, 'positive': 26, 'negative': 22, 'neutral': 5}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 43, 'positive': 15, 'negative': 21, 'neutral': 7}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 154, 'positive': 134, 'negative': 9, 'neutral': 11}]","The Heldrich Hotel and Conference Center, 10, Livingston Avenue, New Brunswick, Middlesex County, New Jersey, 08902, United States"
Shangri-La Resort,"Upscale golf resort with 3 courses & a marina, plus a restaurant, condos with fireplaces & a pool.","{'latitude': 36.559933099999995, 'longitude': -94.8389626}",36.5599331,-94.8389626,4,http://www.shangrilaok.com/,"[{'stars': 5, 'count': 740}, {'stars': 4, 'count': 152}, {'stars': 3, 'count': 49}, {'stars': 2, 'count': 22}, {'stars': 1, 'count': 41}]",1004,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 183, 'positive': 158, 'negative': 18, 'neutral': 7}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 160, 'positive': 136, 'negative': 12, 'neutral': 12}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 172, 'positive': 114, 'negative': 42, 'neutral': 16}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 26, 'positive': 9, 'negative': 16, 'neutral': 1}]","Shangri-La Resort, 57301, Charles Davis Memorial Highway, Bernice, Delaware County, Oklahoma, 74331, United States"
1929 Hotel Seville,"Informal hotel in a 1920s building offering a casual bar & grill, plus free breakfast & a gym.","{'latitude': 36.2324194, 'longitude': -93.1074014}",36.2324194,-93.1074014,3,https://www.1929hotelseville.com/,"[{'stars': 5, 'count': 323}, {'stars': 4, 'count': 116}, {'stars': 3, 'count': 61}, {'stars': 2, 'count': 15}, {'stars': 1, 'count': 19}]",534,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 20, 'positive': 12, 'negative': 3, 'neutral': 5}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 75, 'positive': 58, 'negative': 13, 'neutral': 4}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 50, 'positive': 34, 'negative': 11, 'neutral': 5}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 7, 'positive': 7, 'negative': 0, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 66, 'positive': 36, 'negative': 23, 'neutral': 7}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 45, 'positive': 16, 'negative': 20, 'neutral': 9}]","Hotel Seville, 302, North Main Street, Harrison, Boone County, Arkansas, 72601, United States"
Hyatt Centric Delfina Santa Monica,"Modern lodging offering airy rooms, an outdoor pool & a laid-back restaurant with a terrace.","{'latitude': 34.0105023, 'longitude': -118.48559899999998}",34.0105023,-118.48559899999998,4,https://www.hyatt.com/hyatt-centric/laxcm-hyatt-centric-delfina-santa-monica,"[{'stars': 5, 'count': 944}, {'stars': 4, 'count': 487}, {'stars': 3, 'count': 169}, {'stars': 2, 'count': 69}, {'stars': 1, 'count': 115}]",1784,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 129, 'positive': 80, 'negative': 35, 'neutral': 14}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 337, 'positive': 256, 'negative': 31, 'neutral': 50}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 57, 'positive': 41, 'negative': 12, 'neutral': 4}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 559, 'positive': 390, 'negative': 124, 'neutral': 45}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 117, 'positive': 78, 'negative': 25, 'neutral': 14}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 584, 'positive': 452, 'negative': 106, 'neutral': 26}]","Hyatt Centric Delfina Santa Monica, 530, Pico Boulevard, Santa Monica, Los Angeles County, California, 90405, United States"
The Island Resort at Fort Walton Beach,"Lively modern hotel with 2 pools & a 5-story waterfall, plus breezy dining, bars & beach access.","{'latitude': 30.394646400000003, 'longitude': -86.5889607}",30.394646400000003,-86.5889607,4,https://www.theislandfl.com/,"[{'stars': 5, 'count': 2268}, {'stars': 4, 'count': 897}, {'stars': 3, 'count': 456}, {'stars': 2, 'count': 258}, {'stars': 1, 'count': 418}]",4297,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 1008, 'positive': 599, 'negative': 337, 'neutral': 72}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 499, 'positive': 313, 'negative': 128, 'neutral': 58}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 1301, 'positive': 647, 'negative': 517, 'neutral': 137}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 873, 'positive': 584, 'negative': 191, 'neutral': 98}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 263, 'positive': 123, 'negative': 115, 'neutral': 25}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 864, 'positive': 640, 'negative': 128, 'neutral': 96}]","Miracle Strip Parkway, Okaloosa County, Florida, 32848, United States"
