Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
FREE Parking Minutes from Center City,N/A,"{'latitude': 39.82478713989258, 'longitude': -75.07844543457031}",N/A,N/A,N/A,7,N/A
"Luxury Getaway, Indoor Pool, Hot Tub, Sleeps 16+",N/A,"{'latitude': 39.8041877746582, 'longitude': -74.96762084960938}",N/A,https://berlinoasis.holidayfuture.com/listings/258270?googleVR=1,N/A,52,N/A
South Jersey Dream Home,N/A,"{'latitude': 39.84413146972656, 'longitude': -74.93954467773438}",N/A,https://www.vrbo.com/3884366?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Cherry Hill House,N/A,"{'latitude': 39.89891052246094, 'longitude': -74.98238372802734}",N/A,https://www.booking.com/hotel/us/cherry-hill-house.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-8351792_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-8351792;utm_campaign=en,N/A,11,N/A
The Mohamad Ali Experience,N/A,"{'latitude': 39.894386291503906, 'longitude': -74.97403717041016}",N/A,N/A,N/A,10,N/A
Global Luxury Suites At Cherry Hill,N/A,"{'latitude': 39.9015998840332, 'longitude': -74.96040344238281}",N/A,https://www.super.com/travel/hotels/lXB5BEPG?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Peacefully Cozy Place for solo or group trip,N/A,"{'latitude': 39.85964584350586, 'longitude': -75.02587127685547}",N/A,N/A,N/A,N/A,N/A
Lakehouse with Gorgeous View Family Friendly!,N/A,"{'latitude': 39.802642822265625, 'longitude': -74.89385223388672}",N/A,N/A,N/A,8,N/A
Cheerful - Berlin Bungalow \/ 2 Bedroom Home (boho),N/A,"{'latitude': 39.79410934448242, 'longitude': -74.93509674072266}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D76086362%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Charming 3-bedroom house in fabulous Lawnside with WiFi, AC",N/A,"{'latitude': 39.860286712646484, 'longitude': -75.02271270751953}",N/A,N/A,N/A,N/A,N/A
Charming and cozy 2-bed home in Evesham with everything needed for your stay.,N/A,"{'latitude': 39.800872802734375, 'longitude': -74.89325714111328}",N/A,https://www.vrbo.com/3910527?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,2,N/A
Campu’s Basement Studio w/ private entrance,N/A,"{'latitude': 39.90766143798828, 'longitude': -75.01896667480469}",N/A,https://www.booking.com/hotel/us/campus-basement-studio-w-private-entrance.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10649485_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10649485;utm_campaign=en,N/A,11,N/A
"Near PATCO Train Ashland Station- Cherry Hill, NJ",N/A,"{'latitude': 39.86410140991211, 'longitude': -75.00985717773438}",N/A,https://www.bluepillow.com/search?p_id=589e038b7c00cb10c8db1db1&dest=bkng&cat=House&accomodationids=65837f786c560103cb457643,N/A,N/A,N/A
Campu's Whole House,N/A,"{'latitude': 39.90547561645508, 'longitude': -75.02186584472656}",N/A,https://www.us.despegar.com/hotels/h-6322434,N/A,N/A,N/A
"Clementon Home, perfect for Families",N/A,"{'latitude': 39.811370849609375, 'longitude': -74.97251892089844}",N/A,https://www.bluepillow.com/search?p_id=589e038b7c00cb10c8db1db1&dest=bpvr&cat=Apartment&accomodationids=65cc56c2d1633aac917ac44b,N/A,1,N/A
Elegant Master Bedroom in House *near Patco* LINDENWOLD,N/A,"{'latitude': 39.81196212768555, 'longitude': -75.02037048339844}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D91508440%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Philadelphia - Cherry Hill, NJ",N/A,"{'latitude': 39.92738723754883, 'longitude': -75.00505065917969}",N/A,https://www.us.despegar.com/hotels/h-5866593,N/A,N/A,N/A
Tranquil Retreat In Cherry Hills 3 Bedroom Home by Redawning,N/A,"{'latitude': 39.92720031738281, 'longitude': -75.00969696044922}",N/A,N/A,N/A,7,N/A
