Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
The Gallatin Hotel,"Colorful accommodations, some with kitchenettes, in a trendy hotel offering a brewery taproom.","{'latitude': 36.1960522, 'longitude': -86.7425219}",36.1960522,-86.7425219,3,https://thegallatinhotel.com/?sourcecode_id=19194,"[{'stars': 5, 'count': 471}, {'stars': 4, 'count': 21}, {'stars': 3, 'count': 4}, {'stars': 2, 'count': 3}, {'stars': 1, 'count': 1}]",500,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 286, 'positive': 270, 'negative': 4, 'neutral': 12}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 69, 'positive': 66, 'negative': 0, 'neutral': 3}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 125, 'positive': 106, 'negative': 5, 'neutral': 14}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 160, 'positive': 154, 'negative': 4, 'neutral': 2}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 93, 'positive': 86, 'negative': 3, 'neutral': 4}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 129, 'positive': 119, 'negative': 6, 'neutral': 4}]","Walgreens, 2500, Gallatin Pike, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37206, United States"
TownePlace Suites Franklin Cool Springs,"Informal all-suite hotel with free Wi-Fi & continental breakfast, plus a gym & an indoor pool.","{'latitude': 35.9534632, 'longitude': -86.81420179999999}",35.9534632,-86.81420179999999,3,https://www.marriott.com/en-us/hotels/bnatc-towneplace-suites-franklin-cool-springs/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 324}, {'stars': 4, 'count': 113}, {'stars': 3, 'count': 22}, {'stars': 2, 'count': 17}, {'stars': 1, 'count': 19}]",495,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 15, 'positive': 7, 'negative': 5, 'neutral': 3}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 38, 'positive': 29, 'negative': 4, 'neutral': 5}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 138, 'positive': 114, 'negative': 19, 'neutral': 5}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 160, 'positive': 132, 'negative': 20, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 49, 'positive': 30, 'negative': 13, 'neutral': 6}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 5, 'positive': 4, 'negative': 0, 'neutral': 1}]","TownePlace Suites by Marriott Franklin Cool Springs, 7153, South Springs Drive, Franklin, Williamson County, Middle Tennessee, Tennessee, 37067, United States"
Cambria Hotel Nashville Downtown,"Music-themed quarters in a relaxed hotel featuring a pool, a gym & a restaurant with live music.","{'latitude': 36.1577415, 'longitude': -86.7809753}",36.1577415,-86.7809753,4,http://www.cambrianashville.com/,"[{'stars': 5, 'count': 1185}, {'stars': 4, 'count': 277}, {'stars': 3, 'count': 89}, {'stars': 2, 'count': 50}, {'stars': 1, 'count': 89}]",1690,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 166, 'positive': 141, 'negative': 9, 'neutral': 16}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 200, 'positive': 160, 'negative': 25, 'neutral': 15}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 190, 'positive': 102, 'negative': 66, 'neutral': 22}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 524, 'positive': 421, 'negative': 78, 'neutral': 25}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 406, 'positive': 350, 'negative': 13, 'neutral': 43}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 126, 'positive': 98, 'negative': 16, 'neutral': 12}]","Cambria Hotel Nashville Downtown, 118, 8th Avenue South, Downtown Nashville, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37203, United States"
Caroline House Nashville Historic Inn,"Warm quarters in a laid-back property catering to adults, plus a cozy TV lounge & BBQ grills.","{'latitude': 36.1279299, 'longitude': -86.7838318}",36.1279299,-86.7838318,4,http://www.carolinehousenashville.com/,"[{'stars': 5, 'count': 278}, {'stars': 4, 'count': 2}, {'stars': 3, 'count': 2}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 0}]",282,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 27, 'positive': 26, 'negative': 1, 'neutral': 0}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 15, 'positive': 14, 'negative': 0, 'neutral': 1}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 63, 'positive': 62, 'negative': 1, 'neutral': 0}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 132, 'positive': 132, 'negative': 0, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 160, 'positive': 158, 'negative': 1, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 79, 'positive': 75, 'negative': 1, 'neutral': 3}]","922, Bradford Avenue, Melrose/Waverly Nashville TN, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37204, United States"
Omni Nashville Hotel,"Downtown hotel offering rooms & suites with city views, plus dining, a rooftop outdoor pool & a spa.","{'latitude': 36.1572862, 'longitude': -86.7757168}",36.1572862,-86.7757168,4,https://www.omnihotels.com/hotels/nashville?utm_source=gmblisting&utm_medium=organic,"[{'stars': 5, 'count': 4376}, {'stars': 4, 'count': 1069}, {'stars': 3, 'count': 251}, {'stars': 2, 'count': 146}, {'stars': 1, 'count': 236}]",6078,"[{'name': 'Business', 'description': 'Business', 'total_mentioned': 330, 'positive': 219, 'negative': 32, 'neutral': 79}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 1463, 'positive': 1208, 'negative': 198, 'neutral': 57}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 49, 'positive': 41, 'negative': 7, 'neutral': 1}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 47, 'positive': 41, 'negative': 6, 'neutral': 0}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 256, 'positive': 187, 'negative': 25, 'neutral': 44}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 894, 'positive': 803, 'negative': 31, 'neutral': 60}]","Omni Nashville Hotel, 250, Rep. John Lewis Way South, Downtown Nashville, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37203, United States"
Hutton Hotel,"Hip high-end hotel with chic rooms, Southern dining & an intimate bar with live entertainment.","{'latitude': 36.1530416, 'longitude': -86.79706829999999}",36.1530416,-86.79706829999999,4,https://www.huttonhotel.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,"[{'stars': 5, 'count': 1057}, {'stars': 4, 'count': 309}, {'stars': 3, 'count': 104}, {'stars': 2, 'count': 75}, {'stars': 1, 'count': 110}]",1655,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 573, 'positive': 442, 'negative': 103, 'neutral': 28}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 162, 'positive': 106, 'negative': 42, 'neutral': 14}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 124, 'positive': 87, 'negative': 22, 'neutral': 15}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 153, 'positive': 66, 'negative': 63, 'neutral': 24}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 147, 'positive': 101, 'negative': 29, 'neutral': 17}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 583, 'positive': 463, 'negative': 91, 'neutral': 29}]","Hutton Hotel, 1808, West End Avenue, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37203, United States"
Kimpton Aertson Hotel,"Hip, upscale property offering a rooftop pool & bar, plus terrace dining, a spa & a fitness room.","{'latitude': 36.148566599999995, 'longitude': -86.7986591}",36.1485666,-86.7986591,4,https://www.aertsonhotel.com/?&cm_mmc=WEB-_-KI-_-AMER-_-EN-_-EV-_-Google%20Business%20Profile-_-DD-_-aertson,"[{'stars': 5, 'count': 664}, {'stars': 4, 'count': 158}, {'stars': 3, 'count': 52}, {'stars': 2, 'count': 29}, {'stars': 1, 'count': 23}]",926,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 57, 'positive': 48, 'negative': 4, 'neutral': 5}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 22, 'positive': 17, 'negative': 2, 'neutral': 3}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 23, 'positive': 21, 'negative': 0, 'neutral': 2}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 119, 'positive': 65, 'negative': 36, 'neutral': 18}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 326, 'positive': 283, 'negative': 32, 'neutral': 11}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 87, 'positive': 58, 'negative': 19, 'neutral': 10}]","Kimpton Aertson Hotel, 20th Avenue South, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37212, United States"
"Dream Nashville, by Hyatt","Chic, art deco style lodging offering a sleek restaurant, cocktail bars & a trendy nightclub.","{'latitude': 36.1641107, 'longitude': -86.7790899}",36.1641107,-86.7790899,4,https://www.hyatt.com/dream-hotels/en-US/bnadz-dream-nashville?src=corp_lclb_google_seo_bnadz&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,"[{'stars': 5, 'count': 413}, {'stars': 4, 'count': 89}, {'stars': 3, 'count': 31}, {'stars': 2, 'count': 24}, {'stars': 1, 'count': 51}]",608,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 95, 'positive': 76, 'negative': 11, 'neutral': 8}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 206, 'positive': 158, 'negative': 40, 'neutral': 8}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 79, 'positive': 60, 'negative': 11, 'neutral': 8}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 242, 'positive': 175, 'negative': 46, 'neutral': 21}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 56, 'positive': 31, 'negative': 22, 'neutral': 3}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 38, 'positive': 13, 'negative': 19, 'neutral': 6}]","Deviance foods. Gyros, 210, 4th Avenue North, Downtown Nashville, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37219, United States"
The Westin Nashville,"Cozy rooms & suites in a polished high-rise lodging featuring 2 eateries, a spa & a rooftop pool.","{'latitude': 36.1551478, 'longitude': -86.78074079999999}",36.1551478,-86.78074079999999,4,https://www.marriott.com/en-us/hotels/bnawi-the-westin-nashville/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 1642}, {'stars': 4, 'count': 465}, {'stars': 3, 'count': 142}, {'stars': 2, 'count': 94}, {'stars': 1, 'count': 194}]",2537,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 390, 'positive': 268, 'negative': 83, 'neutral': 39}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 220, 'positive': 131, 'negative': 59, 'neutral': 30}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 52, 'positive': 49, 'negative': 0, 'neutral': 3}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 30, 'positive': 18, 'negative': 9, 'neutral': 3}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 665, 'positive': 456, 'negative': 170, 'neutral': 39}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 142, 'positive': 97, 'negative': 25, 'neutral': 20}]","The Westin, 807, Clark Place, Downtown Nashville, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37203, United States"
Locale Music Row - Nashville,,"{'latitude': 36.1511855, 'longitude': -86.78737339999999}",36.1511855,-86.78737339999999,4,https://www.locale.com/properties/music-row,"[{'stars': 5, 'count': 49}, {'stars': 4, 'count': 1}, {'stars': 3, 'count': 1}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 5}]",56,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 12, 'positive': 10, 'negative': 1, 'neutral': 1}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 10, 'positive': 4, 'negative': 6, 'neutral': 0}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 9, 'positive': 4, 'negative': 3, 'neutral': 2}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 7, 'positive': 5, 'negative': 1, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 12, 'positive': 8, 'negative': 3, 'neutral': 1}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 23, 'positive': 20, 'negative': 1, 'neutral': 2}]","Los Toritos MTG, 1302A, Division Street, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37203, United States"
